,Date,Company,price,GSVI,GSVI t-1,A_GSVI,returns,returns t-1,returns^2,volatilities,volumes,Mkt-RF,SMB,HML,RMW,CMA
1,1/7/2019,AAPL,37.06499863,0,0,0,-0.013445881,0,0.000180792,0.015650335,32383600,0.9,0.82,-1.01,-0.23,-0.44
10,1/14/2019,AAPL,38.07249832,0,0,0,0.049002776,0,0.002401272,0.043111175,13357400,0.9,0.82,-1.01,-0.23,-0.44
19,1/21/2019,AAPL,39.20500183,0,0,0,0.064703004,0,0.004186479,0.051724289,401037100,0.9,0.82,-1.01,-0.23,-0.44
28,1/28/2019,AAPL,39.43999863,0,0,0,0.059972214,0,0.003596666,0.051905539,6868500,0.9,0.82,-1.01,-0.23,-0.44
37,2/4/2019,AAPL,41.63000107,0,0,0,-0.012707554,0,0.000161482,0.019080477,6960900,0.9,0.82,-1.01,-0.23,-0.44
46,2/11/2019,AAPL,42.60250092,0,0,0,0.040534813,0,0.001643071,0.035728582,31095800,0.9,0.82,-1.01,-0.23,-0.44
55,2/18/2019,AAPL,42.60250092,0,0,0,0.013524685,0,0.000182917,0.012295003,10803900,0.9,0.82,-1.01,-0.23,-0.44
64,2/25/2019,AAPL,42.60499954,0,0,0,0.025860002,0,0.00066874,0.024957992,13941200,0.9,0.82,-1.01,-0.23,-0.44
73,3/4/2019,AAPL,43.24250031,28,0,0,0.045684358,0,0.002087061,0.047497069,6082000,0.9,0.82,-1.01,-0.23,-0.44
82,3/11/2019,AAPL,43.24250031,48,28,3.33220451,0.044339662,-0.013445881,0.001966006,0.042135208,71151100,-0.54,-0.36,0.76,-0.1,0.17
91,3/18/2019,AAPL,43.74250031,72,48,3.871201011,0.041072823,0.049002776,0.001686977,0.035181222,16802700,-0.54,-0.36,0.76,-0.1,0.17
100,3/25/2019,AAPL,43.74250031,27,72,4.276666119,0.024367677,0.064703004,0.000593784,0.011388962,593112300,-0.54,-0.36,0.76,-0.1,0.17
109,4/1/2019,AAPL,43.22750092,59,27,3.295836866,0.104507676,0.059972214,0.010921854,0.096441001,6311300,-0.54,-0.36,0.76,-0.1,0.17
118,4/8/2019,AAPL,43.22750092,53,59,4.077537444,0.038112729,-0.012707554,0.00145258,0.031739806,7923300,-0.54,-0.36,0.76,-0.1,0.17
127,4/15/2019,AAPL,46.52999878,41,53,3.970291914,0.033352743,0.040534813,0.001112405,0.028546513,34417300,-0.54,-0.36,0.76,-0.1,0.17
136,4/22/2019,AAPL,47.76250076,44,41,3.713572067,0.021923337,0.013524685,0.000480633,0.020693655,14453600,-0.54,-0.36,0.76,-0.1,0.17
