Date,Company,GSVI,GSVI_lag1,AGSVI,R,R_lag1,Volatility,Volume_lag1,Volume,Mkt_RF,SMB,HML,RMW,CMA
25-02-2019,AAPL,0,0,0,0.025860002,0,0,10803900,13941200,0.9,0.82,-1.01,-0.23,-0.44
25-02-2019,ADBE,51,30,-0.032789823,0.004907484,-0.02517587,0.000633824,28331500,7521100,-2.58,-0.44,1.01,0.04,0.78
25-02-2019,ADI,29,51,0.019802627,0.028335007,0.014066147,0.000197856,11986300,8746100,0.08,1.16,2.63,0.14,0.39
25-02-2019,ADP,5,32,0,-0.00088103,-0.012750163,0.000162567,14677000,12767000,0.35,-0.27,-0.45,-0.17,-0.36
25-02-2019,ADSK,82,44,0,-0.006031655,0.066574133,0.004432115,17880200,11186900,0.02,-0.48,-2.72,-0.29,-0.8
25-02-2019,AEP,54,50,0.061875404,-0.045204027,-0.032993763,0.001088588,4638000,7259500,-0.02,-0.02,-0.03,0,0
25-02-2019,ALGN,5,36,0.057158414,0.036595989,0.030873626,0.000953181,8194500,9628700,-1.29,0.19,0.94,-0.77,0.37
25-02-2019,AMAT,65,30,-0.15415068,-0.004449993,-0.039340296,0.001547659,29940300,14946900,-1.22,-0.87,1.93,0.51,1.25
25-02-2019,AMD,27,41,0,-0.019910276,0.001551882,2.40834E-06,2183300,6245800,0,0,-0.01,0,-0.01
25-02-2019,AMGN,0,0,0,0.031556484,0,0,10714500,13211300,0.9,0.82,-1.01,-0.23,-0.44
25-02-2019,AMZN,57,20,0.051293294,-0.042369965,-0.071289354,0.005082172,1077500,528026800,-2.58,-0.44,1.01,0.04,0.78
25-02-2019,ANSS,28,61,0.085522173,-0.038709568,-0.017246887,0.000297455,1932300,3661800,0.08,1.16,2.63,0.14,0.39
25-02-2019,ASML,56,94,0.17384693,0.077002501,0.056499222,0.003192162,8951600,10370900,0.35,-0.27,-0.45,-0.17,-0.36
25-02-2019,ATVI,68,19,-0.100083459,-0.007833827,0.070322682,0.00494528,2195000,670091600,0.02,-0.48,-2.72,-0.29,-0.8
25-02-2019,BIDU,36,54,0.117783036,-0.0461077,-0.091865514,0.008439273,3196400,8347700,-0.02,-0.02,-0.03,0,0
25-02-2019,BIIB,51,91,0.206794413,0.10529112,0.12401077,0.015378671,5279100,9437100,-1.29,0.19,0.94,-0.77,0.37
25-02-2019,BKNG,71,24,0,-0.021424476,-0.009554091,9.12807E-05,2145100,548575100,-1.22,-0.87,1.93,0.51,1.25
25-02-2019,CDNS,50,60,0,-0.012085517,0.070695576,0.004997864,5206100,5872800,0,0,-0.01,0,-0.01
25-02-2019,CDW,0,0,0,0.01897114,0,0,101536400,14165100,0.9,0.82,-1.01,-0.23,-0.44
25-02-2019,CERN,50,86,0.09763847,-0.020959625,-0.023558809,0.000555017,7762700,4667900,-2.58,-0.44,1.01,0.04,0.78
25-02-2019,CHKP,77,13,-0.730887509,0.040494269,-0.002416981,5.8418E-06,3758000,4826900,0.08,1.16,2.63,0.14,0.39
25-02-2019,CHTR,47,27,-0.138150338,-0.011803436,-0.012953537,0.000167794,81904100,12554500,0.35,-0.27,-0.45,-0.17,-0.36
25-02-2019,CMCSA,35,59,-0.049596941,-0.104091981,0.015973605,0.000255156,4738800,4783800,0.02,-0.48,-2.72,-0.29,-0.8
25-02-2019,COST,70,36,-0.441832752,-0.014354972,-0.055995474,0.003135493,4370500,3939700,-0.02,-0.02,-0.03,0,0
25-02-2019,CPRT,44,25,-0.3074847,0,0.010796293,0.00011656,71301400,13420500,-1.29,0.19,0.94,-0.77,0.37
25-02-2019,CSCO,33,55,0,-0.031484933,-0.019592964,0.000383884,8347300,5117400,-1.22,-0.87,1.93,0.51,1.25
25-02-2019,CSX,68,33,0.129211731,-0.026398778,-0.018483634,0.000341645,4283800,6534000,0,0,-0.01,0,-0.01
25-02-2019,CTAS,25,0,0,0.014366571,0,0,44217200,4058600,0.9,0.82,-1.01,-0.23,-0.44
25-02-2019,CTSH,11,20,-0.048790164,0.01939547,0.007847813,6.15882E-05,64824900,5431000,0.03,0.02,0.06,-0.02,0.02
25-02-2019,DLTR,29,22,-0.310154928,0.000793461,0.003512139,1.23351E-05,39931500,7512900,-0.41,0.13,-0.16,-0.09,-0.29
25-02-2019,DXCM,31,79,1.111351314,-0.053781139,0.025524705,0.000651511,46700100,6489700,-3.31,0.29,0.27,-0.3,0.27
25-02-2019,EA,30,24,-0.583146285,-0.007668043,0.035520305,0.001261692,79702800,9469800,1.56,-0.62,-0.16,0.52,-0.04
25-02-2019,EBAY,18,42,0,0.007380794,-0.062970189,0.003965245,63876600,6646400,0.8,1.12,1.63,-0.21,0.45
25-02-2019,EXC,27,42,0,0.046506996,-0.041760634,0.001743951,34736500,8433100,1.27,-0.7,-0.4,0.81,0
25-02-2019,FAST,17,22,0.046520016,0.003308711,0.054605779,0.002981791,59565300,5205800,1.11,0.8,-0.66,-1.44,-0.75
25-02-2019,FB,49,69,4.234106505,0.006313314,0.025883543,0.000669958,90177800,38713565,-0.54,-0.36,0.76,-0.1,0.17
25-02-2019,FISV,28,42,0,0.029574105,-0.019089884,0.000364424,68299100,30632600,0.11,0.54,-1.33,-0.47,-0.67
25-02-2019,GILD,24,16,0.064538521,0.002915715,-0.00475275,2.25886E-05,14607500,24781000,0.02,-0.37,-0.37,0.05,-0.36
25-02-2019,GOOG,94,44,0,-0.024456348,0.002103098,4.42302E-06,1221500,53405700,-1.55,0.44,-1.14,-1.49,-0.8
25-02-2019,IDXX,45,32,-0.030771659,0.019893402,0.009027394,8.14938E-05,34875452,173529000,1.66,0.54,0.73,0.12,0.16
25-02-2019,ILMN,19,62,0,0.036760709,0.035376177,0.001251474,21698900,26708800,2.58,0.67,-0.34,-0.24,-0.1
